enterprise_lead_id,tour_date,number_of_developed_contracts_owned,number_of_managed_contracts_owned,number_of_trust_contracts_owned,number_of_vip_sampler_contracts_purchased,number_of_resale_contracts_owned,first_voi_sold_date,most_recent_voi_sold_date,total_spent_life_to_date,total_intervals_owned,total_net_weeks,total_net_points,largest_list_price_purchase
673508451,2021-06-02,0,0,null,1,0,null,null,0.00,1.00,0.00,0,1795.000000000000
671014743,2022-10-18,0,1,null,0,0,2019-02-22,2019-02-22,34990.00,0.50,0.50,11520,34990.000000000000
671233871,2022-07-04,0,0,null,0,0,null,null,0.00,0.00,0.00,0,0E-12
677750295,2024-03-21,1,0,null,0,0,2012-09-22,2012-09-22,18200.00,0.50,0.50,8000,18200.000000000000
680038845,2022-07-11,0,0,null,1,0,null,null,0.00,1.00,0.00,0,0E-12
677357709,2022-06-08,0,0,null,0,0,null,null,0.00,0.00,0.00,0,0E-12
690386270,2025-05-27,0,0,null,1,0,null,null,0.00,1.00,0.00,0,1695.000000000000
691318945,2022-08-13,0,1,null,0,0,2013-08-23,2020-02-01,69000.00,1.00,0.50,12096,69000.000000000000
665651543,2016-08-29,1,0,null,2,0,2009-07-27,2009-07-27,13653.00,2.50,0.50,8000,13653.000000000000
682616031,2022-07-10,1,0,null,0,0,2014-09-23,2014-09-23,25870.00,0.50,0.50,9920,25870.000000000000
682606405,2024-08-06,1,1,null,1,0,2015-03-22,2024-08-05,56055.00,2.50,-0.50,21504,56055.000000000000
681764519,2023-09-25,1,0,null,0,0,2023-01-22,2023-06-07,46480.00,1.00,0.00,11200,46480.000000000000
674990043,2021-05-12,1,0,null,0,0,2019-08-22,2019-08-22,24990.00,0.50,0.50,9920,24990.000000000000
674802799,2025-02-22,0,1,null,0,0,2014-09-06,2018-12-02,115537.00,1.00,0.00,20160,115537.000000000000
674441927,2007-08-15,0,0,null,1,0,null,null,0.00,1.00,0.00,0,1595.000000000000
673979641,2021-12-19,0,1,null,0,0,2013-10-16,2013-10-16,23110.00,1.00,1.00,6400,23110.000000000000
671358197,2024-05-16,2,0,null,0,0,2001-11-30,2008-04-03,70770.00,3.00,0.00,26560,46680.000000000000
673781749,2025-06-04,1,0,null,2,0,2001-07-03,2018-04-13,47238.00,3.00,0.00,9600,47238.000000000000
672735693,2023-07-27,0,0,null,1,0,null,null,0.00,1.00,0.00,0,1695.000000000000
671844123,2021-07-29,1,0,null,0,0,2013-08-20,2013-08-20,23600.00,0.50,0.50,9920,23600.000000000000
672430521,2024-04-30,1,0,null,0,0,2019-11-12,2019-11-12,17870.00,0.50,0.50,5440,17870.000000000000
678834413,2021-11-14,2,0,null,0,0,2010-11-21,2014-03-21,75120.00,2.00,1.50,22400,57740.000000000000
679642767,2022-07-15,0,0,null,1,0,null,null,0.00,1.00,0.00,0,1695.000000000000
692193195,2021-05-29,0,0,null,1,0,null,null,0.00,1.00,0.00,0,1795.000000000000
689785693,2025-06-18,1,0,null,1,1,2001-10-07,2009-09-11,19422.00,1.00,0.00,0,19422.000000000000
666166859,2022-07-31,0,0,null,0,0,null,null,0.00,0.00,0.00,0,0E-12
664747881,2023-05-25,0,0,null,0,0,null,null,0.00,0.00,0.00,0,0E-12
665385603,2022-02-27,2,1,null,0,0,1999-06-21,2013-05-28,50970.00,3.00,-1.00,24000,27980.000000000000
683628899,2023-08-18,1,0,null,0,0,2009-11-21,2009-11-21,11690.00,0.50,0.50,5440,11690.000000000000
676657631,2022-07-12,0,4,null,0,0,2012-10-11,2018-04-18,62420.00,4.00,4.00,28000,27920.000000000000
677208569,2023-03-10,0,1,null,1,0,2019-04-18,2019-04-18,14370.00,1.50,0.50,0,14370.000000000000
676400693,2025-12-24,0,1,null,0,0,2024-09-26,2024-09-26,8605.00,0.50,0.50,2560,8605.000000000000
672146791,2022-09-13,0,0,null,0,0,null,null,0.00,0.00,0.00,0,0E-12
671867019,2023-10-01,1,1,null,0,0,2006-07-02,2021-06-17,66350.00,2.00,1.00,33600,42860.000000000000
670910623,2022-05-02,0,1,null,0,0,2015-11-06,2020-06-09,48285.00,1.00,-1.00,11200,48285.000000000000
677743245,2024-04-03,1,0,null,0,0,2011-05-16,2011-05-16,12344.00,0.50,0.50,5440,12344.000000000000
678954967,2021-12-20,0,0,null,1,0,null,null,0.00,1.00,0.00,0,1695.000000000000
679625309,2022-09-01,0,1,null,0,0,2017-12-27,2017-12-27,14690.00,1.00,1.00,3520,14690.000000000000
691147170,2023-12-17,0,0,null,0,0,null,null,0.00,0.00,0.00,0,0E-12
690868679,2022-04-23,0,1,null,0,0,2017-07-11,2017-07-11,16870.00,0.50,0.50,8000,16870.000000000000
690413734,2023-09-12,0,0,null,0,0,null,null,0.00,0.00,0.00,0,0E-12
664678631,2022-06-24,1,0,null,0,0,2017-10-23,2021-12-17,61037.78,1.00,0.00,11520,61037.780000000000
667534253,2024-06-10,1,0,null,1,0,2005-05-31,2015-06-04,60095.00,2.00,1.00,8000,38295.000000000000
664912683,2007-09-18,0,0,null,0,0,null,null,0.00,0.00,0.00,0,0E-12
674134455,2022-02-15,0,0,null,0,0,null,null,0.00,0.00,0.00,0,0E-12
674080933,2022-11-12,1,0,null,1,0,2006-01-26,2019-09-12,30220.00,2.00,0.50,8000,30220.000000000000
677171345,2022-06-25,1,0,null,0,0,2008-11-01,2010-09-05,56490.00,1.00,0.50,14880,56490.000000000000
675401925,2025-05-31,3,1,null,0,0,2005-09-18,2022-08-21,174646.00,4.00,3.00,58240,69626.000000000000
